Zimmer,Quadratmeter,Preis,Adresse,PLZ,Ort
3.5,61,2070,Kirchweg 110,8246,Langwiesen
2.0,160,3570,Hagenholzstrasse 70,8050,Zürich
3.5,150,4070,Am Giessenpark 15,8600,Dübendorf
3.5,160,6310,Sonnentalstrasse 15,8600,Dübendorf
2.5,64,3470,Rümlangstrasse 70,8052,Zürich
2.5,140,6260,Badenerstr. 157,8004,Zürich
2.5,120,4470,Obstgartenstr. 13,8703,Erlenbach ZH
2.5,120,5460,Drusbergstr. 66,8053,Zürich
3.5,130,4190,Zürichstrasse 81,8910,Affoltern a. Albis
3.5,140,2810,Marktgasse 18,8302,Kloten
3.5,57,3170,Gattikonerstr. 101,8136,Gattikon
2.5,64,4640,Im Glockenacker 56,8053,Zürich
3.5,150,3810,Dreifelsstr. 5,8105,Regensdorf
3.5,150,3570,Zwickystrasse 18,8304,Wallisellen
2.0,49,2480,Bodenacherstrasse 28,8121,Benglen
2.5,63,5830,Jenatschstrasse 3,8002,Zürich
2.5,63,3450,Unterdorfstrasse 1,8311,Brütten
2.5,160,3200,Kopfgasse 1,8180,Bülach
3.0,190,8680,Utoquai 49,8008,Zürich
3.5,47,3470,Ringstrasse 20,8600,Dübendorf
2.5,140,4010,Ringstrasse 20,8600,Dübendorf
3.5,200,7940,Plattenstr. 34,8032,Zürich
3.5,57,3480,In Lampitzäckern 45,8305,Dietlikon
3.5,58,2740,Tössstr. 49,8427,Rorbas
2.5,54,2620,Alt-Ferrachstrasse 31,8630,Rüti ZH
3.5,180,4250,Alt-Ferrachstrasse 37a,8630,Rüti ZH
,120,,Eggbühlstrasse 36,8050,Zürich
,20,,Eggbühlstrasse 36,8050,Zürich
2.0,37,2600,Am Stadtrand 3,8600,Dübendorf
3.5,40,2990,Am Stadtrand 23,8600,Dübendorf
2.5,50,2600,Einsiedlerstrasse 41,8810,Horgen
3.5,41,2570,Hätzlergasse 21,8048,Zürich
3.5,53,2500,Florastr. 2,8134,Adliswil
2.0,47,2570,Bächlerstrasse 53,8802,Kilchberg ZH
2.5,63,2390,Römerstr. 152,8404,Winterthur
3.5,56,2570,Einsiedlerstrasse 41,8810,Horgen
2.0,41,2130,Haberweidstr. 49,8610,Uster
2.0,41,2450,Riedenhaldenstr. 30,8046,Zürich
2.5,49,2470,Preyenstr. 27,8623,Wetzikon ZH
2.5,56,2300,Glärnischstrasse 68,8618,Oetwil am See
2.5,52,2620,Weststrasse 82,8620,Wetzikon ZH
2.0,41,2240,Guyerstr. 8,8304,Wallisellen
2.5,31,2830,Regensdorferstrasse 69,8049,Höngg
3.5,120,3900,Winterthurerstrasse 26,8610,Uster
2.5,53,2740,Reckenwinkel 6,8154,Oberglatt ZH
3.5,37,2330,Sulzerallee 59,8404,Winterthur
3.5,120,2980,Else-Züblin-Strasse 83,8404,Winterthur
3.5,37,2280,Breitigasse 15,8610,Uster
2.5,130,4090,Hohlstrasse 485a,8048,Zürich
2.5,42,3740,Talackerstrasse 47,8152,Opfikon
3.5,49,3970,Kurfirstenstrasse 43,8002,Zürich
3.5,130,4010,Meiershofstrasse 9,8600,Dübendorf
3.5,50,2910,Seidenstr. 12,8600,Dübendorf
2.5,47,2240,Alte Poststr. 1,8172,Niederglatt ZH
2.5,61,3650,Wright-Strasse 37,8152,Glattpark (Opfikon)
3.5,140,3310,Roosstrasse 42e,8105,Regensdorf
2.5,50,3130,Bordackerstrasse 22,8610,Uster
2.0,54,4360,Baslerstrasse 77,8048,Zürich
1.0,35,2300,Seidenstr. 28,8600,Dübendorf
2.5,61,3080,Rebrainstrasse 23,8106,Adlikon b. Regensdorf
2.5,59,3460,Witikonerstr. 243 / 245,8053,Zürich
2.5,57,2930,Falmenstrasse 2d,8610,Uster
3.5,170,5630,Feldhofstrasse 14,8600,Dübendorf
2.0,37,1980,Geerenweg 16,8303,Bassersdorf
3.5,160,4770,Alter Zürichweg 16,8952,Schlieren
2.0,49,2640,Zürichstr. 29,8600,Dübendorf
3.5,51,2620,Margrit Rainer-Str. 13,8050,Zürich
2.5,46,2550,Bahnhofstr. 53,8902,Urdorf
2.5,45,1900,Meierwiesenstr. 39,8107,Buchs ZH
3.5,160,5140,Zwirnerstrasse 78,8041,Zürich
3.5,140,2680,Seilerwis 5,8606,Greifensee
2.5,50,2330,Müllerwis 8,8606,Greifensee
3.5,40,1830,Sonnenfeldstr. 10,8620,Wetzikon ZH
2.5,50,2340,Gerichtshausstr. 1,8340,Hinwil
2.5,61,2470,Bahnhofstrasse 152,8620,Wetzikon ZH
3.5,44,3880,Nordstrasse 15,8180,Bülach
2.5,140,4470,Zwirnerstrasse 78,8041,Zürich
3.0,190,3470,Oberdürntnerstrasse 7,8635,Dürnten
3.5,41,2600,Else-Züblin-Strasse 78,8404,Winterthur
3.5,43,2640,Rütistrasse 60,8134,Adliswil
2.0,120,5210,Baslerstrasse 77,8048,Zürich
2.0,45,2720,Schwandenacker 46,8052,Zürich
3.5,64,2860,Burstwiesenstrasse 69,8606,Greifensee
2.5,57,2810,Tüfwisstrasse 17,8185,Winkel
2.5,59,3820,Schneebelistr. 4,8048,Zürich
2.5,190,4980,Höflistrasse 43,8135,Langnau am Albis
1.0,29,2370,Schützenweg 1,8604,Volketswil
2.0,160,6230,Zollikerstr. 23,8008,Zürich
3.5,160,3450,Neunfornerstrasse 13,8475,Ossingen
3.5,120,2840,Ulmenstrasse 9,8636,Wald ZH
2.0,30,3760,In der Au 6,8604,Volketswil
2.0,54,2470,Bründlerstr. 5,8330,Pfäffikon ZH
3.5,38,2130,Im Späten 31,8906,Bonstetten
3.5,43,2520,Löwenstrasse 17,8133,Esslingen
2.5,56,4560,Haldenstrasse 14,8045,Zürich
2.0,22,1930,Winterthurerstr. 85,8006,Zürich
2.5,50,2570,Im Brünneli 15,8127,Forch
3.5,130,3340,Alt-Ferrachstrasse 35c,8630,Rüti ZH
3.5,190,4560,Am Wasser 30,8600,Dübendorf
3.5,37,2200,Chilenwiesenstrasse 1,8108,Dällikon
2.5,120,3750,Hagenholzstrasse 76,8050,Zürich
